username,tweet
headsink,jiran jiran saya pun ada senasib macam dalam thread bawah nak cerita sini pun tak sampai hati nampaknya memang ramai kelas pertengahan malaysia terjejas 
syafiqunzir,selamat malam malaysiaku 
lorrrd_ejato,dear budak muda “pandai” yang tak baca sejarah perjuangan sejak dulu lagi member tak perlu hijack mana mana movement yang rakyat buat pioneer untuk movement kerajaan mahathir sejak zaman muda dulu stupid
curatorkata, versi saya lukis 
besttongkat,bila ber tentu ada ada menang dan kalah kami sedia membantu untuk anda menang ber lawan 
khalilmakata,manusia kalau tak hujah bernas dia akan alih tiang gol 
ansazhri,sebab bossn duduk rumah kakakka
janetbanjari,lebih  
tampangadis,entahlah nyah aku tak fhm ape nak jadi malaysia skrg risau kadang2 
hasbi_hxsbx_,apo hahahha 
apezkhu,pemimpin yang salah guna kuasa sampai susahkan rakyat rakyat guna platform social media untuk suarakan pendapat dan pemimpin yang tidak ada ‘empathy’ tidak harus menjadi pemimpin sampai bila nak pkp dan sekattekan kehidupan rakyat 
muzamminmuzlan,sila letak jawatan  
tunfairuz,walaupun aku kat negara orang 
sharafiasraf,201k ciapan ayuh semarakkan perlawanan jangan pandang rendah kuasa rakyat yang tercerah 
adilfx37,pakat meroyan habih bila kena kurung rupanya mula mula suruh angkat bendera putih last skali suruh angkat bendera hitam tanda katanya  haii laaaa orang malaysiaaa bab complain nombor satu semua orang buat tak kena depa saja cerdik tauk gula kopiiiii 
robbie_rrb,even grande said  ’ cackling
therealaminrais,enough enough fight for better nation better future  
guna_sundram,this must not stop here just social media have sampai mati
sarananandan_,saya juga politikus yang talam dua muka yang kononnya menentang kerajaan medsos tetapi berjinak jinak belakang tirai
vinod_misprod,now know what right 
jeffreychiang66,shit man just friggin quit have you got shame 
dyanaanordin,because those power are ruining our future because every minute their failed leadership costs lives 
sethadli,selamat malam fuck government  
syahredzan,malaysians who participated rejoice you were part the country’ social media history 
zlwnvjay,punyalah real baru beranak terus tweet jangan underestimate energy ongmesia 
mirvls,sequel mak hang belen pulak 
kelapadanorked_,not gonna let wildan live country like this that’ why 
btrsymn,esok nak gantung shawl hitam luar rumah 
adilfx37,manja sungguh rakyat mesia semua nak kena ambik berat semua tak kena maklum byk ada degree dah cerdik sikit sikit ugut tunggu masa pru parti mana yang hampa rasa baguih utk tadbir urus negara masa pandemik habaq mai sat 
musangmerah6,kerana aku sayang negaraku 
walid_joe,ngantuk dah nak tunggu england bola 
reedaniyabieber,dms safe space for anyone who needs someone simply just listen their struggles here for everyone you your pain valid you are not alone this are here for you welcoming you with open arms❤️ 
martindelrey95,level white flag level black flag with level 
orchidslily,200 000 tweets  
jesperolsanajek,actually korang tengah bincang apa dekat jalan bellamy 
nourashqn,sebulan lockdown yang sia sia 
aziranatashazs,mana 
jeff_carlito,never ever forget this fella name ugly face kick muhammad sanusi nor out end his political career the next heartless stupid arrogant morons not deserve 2nd chances forgiveness 
surayaazmn,super late been off lately but 
alif_haqimii,abahboss nak nasihat sikit kpd berkaitan 
lurvebabe_,kita kasi  
deartomato,has reached 200k tweets 
skinnymamy,meskipun baru nak kibar sebab baru lepas beranak 
