nuru1ain_,@SyedSaddiq Penat dengan Azmin.
mankimcat,@SyedSaddiq All summarise in this thread   https://t.co/82cvrfnX3h
nurfazlinn,@SyedSaddiq Penat.
ubaidbmohsin,@SyedSaddiq sebab makpak saya punya business tuisyen 16 tahun terpaksa tutup macam tu je. oh satu lagi saya nak potong rambut. rimassssss
chombiku,@SyedSaddiq Sy dari dulu lawan tetap lawan... Rakyat nak pemimpin yg adil amanah cekap dan tegas. Tapi tu laa yg pegang jawatan ni semua dah pangkat atok2.. tu pun gila kuasa.. xtakut agaknya balasan
paedrazip,"@SyedSaddiq Sesetengah ahli politik selama ini kononnya membantu rakyat. Walhal, sebaliknya! Kemiskinan semakin berleluasa, rakyat hilang mata pencarian, dan ada yg smpai bunuh diri. Jika Ahli politik masih boleh berfikir disaat PRU Sabah, rasanya kita sudah menang. AKU PENAT &amp; LELAH."
blackrt16,"@SyedSaddiq Sebab saya sebagai student rasa paling tertindas.  Bayar yuran pengajian penuh, kena online class, kena buat kerja rumah, parents dibuang kerja, life masa muda sia-sia je"
invisuuible,"@SyedSaddiq Penat duduk rumah odl dari diploma now dah masuk degree. Takde life takde memory, mental penat badan penat.. Kes masih naik naik and terus naik. Frontliner penat, student penat, orang berniaga penat, satu Malaysia penat but no action and double standard."
pemujarahsiaa,@SyedSaddiq Sebab dah penat dan tak sanggup lagi nak ada dalam situasi bodoh macam ni
23potteh,"@SyedSaddiq literally most of us is tired (penat) dah lama berkurung kt rumah, tak produktif, hilang semangat, xde future rasa and yet this government incompetence really make us angry, they just ignore our suffering just they could stay in power when we are powerless"
eshtchn,@SyedSaddiq entahlah tuan. kerusi pemerintahan dipegang orang-orang tua yang hipokrit. tambah lagi dengan menteri yang bebal nak saman rakyat sebab kibar bendera putih. tak competent tapi selfish nauzubillah dia sokmo yang nak memerintah. saya #Lawan sebab pemerintah dan ahli politik bodoh
zariasofieya,"@SyedSaddiq sbb kte rakyat biasa makin ditindas. Dorg yg senang makin senang, dorg punca kes naik kte yg mangsa dgn bantuan yg alahai. Kdg2 btul2 rasa nak gantung diri.. Kte nak tlong kwn2 yg susah pun xdpt sbb kte pun susah skg ni . Sedih and penat but nak xnak kena teruskan hdup"
lily64117126,@SyedSaddiq Penat dahh wehh berkurung...craving banyak nii dlm perott.
azmilroslan_,"@SyedSaddiq Aku rasa kabinet wakil pelajar sekolah menengah lagi ada common sense dari kerajaan bodoh ni, jadi kita #Lawan 🏴🏴"
myoradzi,"@SyedSaddiq Mereka cuma pentingkan pangkat. Tiada plan untuk negara. Korupsi sana sini. Rakyat dikurung seperti haiwan peliharaan. Cuma diberi apa yg menteri maukan. Tolong lah rakyat. Kita perlu merdeka. Janganlah biarkan kita dijajah oleh mereka. Merdeka dari korupsi, merdeka dari covid!"
lemonwheeesky,"@SyedSaddiq Penat, our future is uncertain, there is no credibility uphold by our leaders. No shame in performing injustices towards the people. People in power need to know that rakyat has reached their limits"
sheikhshahrir,"@SyedSaddiq Saya rasa kalau kita tak #lawan hari ni, Malaysia akan meleset ke “point of no return” dan anak cucu cicit kita akan merana di masa hadapan seperti negara2 jiran kita yang dirosakkan pemimpin korup di tahun 70an dan 80an."
krulfadhli,"@SyedSaddiq 1. PN patut ada peluang jadi ‘hero’. Tapi disia-siakan.. 2. Begitu mudah menyalahkan rakyat.. 3. Buat benda sama ulang-ulang, tapi tak menjadi.. 4. Barisan menteri tak ada contoh kepimpinan &amp; tauladan, senang-senang melanggar peraturan, dilepaskan tanpa hukuman setimpal.."
diyahensem__,"@SyedSaddiq Tak tahan dah tgk kesengsaraan rakyat, ahli politik perli rakyat, agamawan pulak banyak yang dok sokong pemimpin tak adil."
farrahperodua,@SyedSaddiq Sbb dorang propa je..acah2 mak enon
irsyadusion,@SyedSaddiq golongan pelajar sehinggalah orang berumur terjejas akibat sifat selfish orang atasan…kebebasan bersuara rakyat makin pudar dan semua initiatives rakyat untuk membantu rakyat yang lain dianggap simbol menjatuhkan kerajaan walhal mereka semangnya memerlukan pertolongan🏴🏴🏴
toor8293,"@SyedSaddiq Tahun lps masa ekonomi start jatuh (masa TSMY) dah ajak lawan, ramai2 kecam saya balik di FB. Tahun lps majoriti sokong PN atau Muhyiddin.   Skrg dah putus asa. Mereka yg dulu kecam kami skrg U-Turn berhutang 100% pendptan mereka pd org2 yg susah skrg."
azwnrsa,@SyedSaddiq So pkpd ni function dia mcm apa sebenarnya? Aku ni student lgi pergi kerja partime pun bapa yang hantar lepastu polis tu ckp sorg je dibenarkan dlm kereta pundek betulla kena berhenti kerja sebab pkpd bodoh ni je nak ambik lesen asyik pkp leastu lockdown
joshuadoliveiro,@SyedSaddiq sebab saya tidak faham logik polisi kerajaan ini terhadap pandemik. saya hanya lihat rakyat hidup susah.
toktukun,"@SyedSaddiq Kerana sudah sampai masa Malaysia ditadbir oleh generasi X dan dilapisi oleh generasi Y. Kami perlukan perubahan minda dan anjakan paradigma yang total. Kami sudah bosan dengan cara lama yang menggunakan taktik ""Divide and Conquer"" rakyat Malaysia."
sofianyaakubb,"@SyedSaddiq 1.2 - Sy nak ke sabah atas urusan kerja tak dibenarkan, perlu mohon permit/pas masuk sabah. Dah mohon, tak lulus atas alasan PKP, sabah gov inform jika ada kelonggaran SOP baru mereka boleh consider beri kelulusan. Tapi sehingga harini tiada update SOP baru dari MKN untuk Sabah."
rozalinakarim_,"@SyedSaddiq 1. Yg kaya makin kaya dan makin sombong 2. Yg susah, diugut, dibuang kerja, dipaksa kerja 3. Hak pendidikan utk pelajar tk dilunaskan 4. Kerajaan tak pandai tadbir negara 5. Nyawa rakyat dibuat main"
chokinetto,"@SyedSaddiq dah 2 tahun hadap covid. kalau ada otak, anda masih mahu bersangka baik dengan kerajaan baiklah anda buang otak anda. Rasa macam diperintah oleh sekumpulan budak tadika 🙂"
izzataizel_,@SyedSaddiq saya dah penat dengan kerajaan sekarang
yuslainiazmi,@SyedSaddiq Lawan demi anak bangsa dan meneruskan kehidupan yang lebih baik!
adrnmir,"@SyedSaddiq Mereka yang starter buat masalah adalan PRN SABAH 2020 kerana waktu tu kes harian malaysia hanya 1 angka,selepas pilihan raya tu kes naik mendadak sampai lah ke harini,waktu kes dah naik 1k pun buat taktau je, bila dah lambat buat lockdown skrg malaysia menjadi kucar kacir"
haarreessh,"@SyedSaddiq The pandemic has shown us what the true colours of Malaysian government is.60+ years of Merdeka yet favoritism, cronyism, double-standards, huge income gap among the rakyat, incompetence and racial bias are still a thing here. Time for a revamp in the system. We all had enough!"
aliffzulkifly,@SyedSaddiq Penat. Penat dengan undang2 yang double standard. Menteri yang tidak berkhidmat untuk rakyat. Pemerintah yang pengecut.
kisheyem,@SyedSaddiq #LawanTetapLawan #Lawan  https://t.co/7cU3SiYbtX
22sara95,@SyedSaddiq Penat. Penat sangat. Geng2 tua bangka masing2 sibuk membuncitkan perut masing2 yg dh sedia ada buncit. Trying to keep their money rolling. Sy tau crying to sleep tak elok tp tu je salah satu cara nak hilang stress. #Lawan #BenderaHitam 🏴
erfartey,@SyedSaddiq Because it's time
nourishmin,"@SyedSaddiq Honestly, sebab penat bangun bangun baca berita sedih tentang rakyat dan penat baca berita sakit hati tentang ahli politik. Sampai bila rutin ni akan berterusan?"
txkangofficial,@SyedSaddiq Sebab #KerajaanGagal  Senang
mariessa23,"@SyedSaddiq Parlimen tak buka, kebajikan rakyat tak dijaga, double standard, kilang tak tutup, kompaun sesuka hati, PKP/PKPD tak effective, vaksin tak dapat lagi, Menteri boleh melancong ke luar negara tapi rakyat merana makanan pun takde"
pacinggo,@SyedSaddiq Lawan sebab PM useless.. ade power xnak guna.. Azmin plak bela tauke2 kononnya keuntungan industri lg penting waktu sesak mcm sekarang. Masa depan kanak2 makin kabir dgn sistem pdpr yg x nampak keberkesanannya. Bantuan cuma sekadar penyedap telinga walhal ramai yg memerlukan
yqian18,"@SyedSaddiq For our education, economy, democracy, mental health, and for a better Malaysia... We follow all the U-turn and weird SOP, but what we gain??? Our frontliner and people r suffering...Sad to see what happening now.."
wolfupus,@SyedSaddiq Sbb gov haram nih terlalu budu ikut akal budu diorang je nak buat apa  Eh lupa diorang de akal ke? 🤔
dannnamiri,"@SyedSaddiq Tiada potongan yuran walaupun belajar dari rumah. Kadangkala pensyarah cuma bagi tugasan tapi perlu bayar penuh seperti belajar di kampus. Jika tidak, wang tersebut boleh dimanfaatkan untuk perkara yang lebih mustahak seperti pembelian peranti yang lebih baik atau pelan internet"
cheajibsayang,@SyedSaddiq Sebab kami tak cinta
haikal_joee,"@SyedSaddiq no comment la yb, aku sakit hati gila dengan kerajaan ni sampai tak tahu nak luah cemana. kahkahkah, dasar pintu belakang tak berhati perut. #CIRIT"
lovemalaysia22,"@SyedSaddiq We proud to be Malaysian, but our government make us shameful👿"
mohdfaizalmusa1,@SyedSaddiq Dosa terbesar dalam Islam ialah #khianat dan ganjaran terbesar untuk orang Islam ialah #Lawan
heykamarul,"@SyedSaddiq Kami #Lawan sbb kami semua tak tahu siapa yang betul2 peduli. Kerajaan atau pembangkang, semua niatnya nampak kabur. Letih menghadap perlawanan politik yang tiada berkesudahan. Kuasa, wang, tiada noktah. Kami #Lawan untuk kami, demi masa depan kami sendiri #RakyatJagaRakyat 💪"
mlhbma,@SyedSaddiq kita perlukan pemimpin muda 🏴
ammvangelist,"@SyedSaddiq Saya lawan sebab dah penat dan kecewa apabila rakyat yg tak bersalah, ikut SOP, berkerja keras, bantu membantu - tapi dihukum pula oleh kerajaan dengan segala mcm PKP PKPD PKPBBXJSIWNXBJW... sudahnya makin ramai yg tertekan dan hidup dalam kesusahan."
tqa_hamzah,"@SyedSaddiq Almost 2 months of lockdown, I mean “totally full lockdown🙄” still no result."
mohdalazim55,@SyedSaddiq Kenapa kamu bodoh sangat tolong kongsikan
