nuru1ain_,@SyedSaddiq Penat dengan Azmin.
ahsanlee,@SyedSaddiq kangkung dulu naik skrg dah turun #seluarsedut
admluq,"@SyedSaddiq Suara-suara itu tak bisa dipenjarakan, di sana bersemayam kemerdekaan, apabila engkau memaksa diam, aku siapkan untukmu: pemberontakan!  Checkout our new release 🔥  TUKE - GAGAL ft Cerulean. (Dir. &amp; Prod. VAXTOR)   https://t.co/NoCPDX38rV  https://t.co/0j8DMd2acN"
izr4m,"@SyedSaddiq sebab dorang tak berkat, datang dari cara yang haram. 😢"
zainaladzam,@SyedSaddiq I need a solid and formidable government.
mirzaafiqbeg,"@SyedSaddiq Just click on one of the trending topic hashtags YB. Almost everyday, same narrative. Tak caya tunggu siang nanti."
asyrafunk,@SyedSaddiq we are tired of these politics. we dont want our efforts to be in vain anymore. enough 1yr+ wasted. last year we tried to get back on track after the 1st lockdown. but it all went into the drain after PRN SABAH and worsen till today! and all the politicians are just selfish
turn_e,@SyedSaddiq 1. Gaji/elaun menteri dan yb terlampau tinggi 2. Rendahkan umur pencen untuk bagi next generation 3. Politik kotor 4. Gaji pekerja terlalu rendah/ jurang gaji melampau 5. Tanah Malaysia rosak dan musnah 6. Aset negara habis 7. Kurangkan bangunan.Banyakkan maintaning tmpat sejarah
kembarasaga,"@SyedSaddiq Kami nak balik kampung, ziarah saudara pun kami tahan demi untuk bersama bantu barisan hadap an Dan negara. Malang ya MP kami bercuti Di NZ  cuti 2 bulan anak study oversea, cuti tajaan ke turkey. Kalau kerja ke luar hegara, mesyuarat Di zoom. Mereke dahulu kan rakyat konon"
turn_e,"@SyedSaddiq 8. Perlukan menteri kayakan rakyat bukan kluarga sendiri. 9. Tak dapat tngani covid19 10. Penunggang agama, bangsa dan negara 11. Struktur balik fungsi raja dan elaun mereka. Raja bukan maksum. Raja bukan dipilih Tuhan 12. Ramai bunuh diri 13. SOP mengarut. Semua jadi palatao"
turn_e,"@SyedSaddiq 14. Tiada lagi gejala kena raikan menteri datang majlis.  15. Pendidikan dan perubatan malaysia terjejas teruk. 16. Perumahan tak terarah. Tanah dijual ke warga asing 17. Hutang negara banyak tapi gaji menteri tak nak turun. 18. Perlukan new face, new malaysia"
oscardieselwong,"@SyedSaddiq This is not the government that we all voted for! That's the main problem. Not voted, not doing a good job, not responsible, NO HONESTY! Lies after lies! #KerajaanBangsat"
hnazurah,"@SyedSaddiq 1. PKP yg tak sudah atas k3bodohan KEBANYAKAN menteri  2. Children lost their childhood normal lives that is important for their development  3. Bantuan yang diberi hanya bila didesak untuk kepentingan politik 4. Semua perkara nak dipolitikkan, belum part tunggang agama lagi."
penasuria,"@SyedSaddiq 1. Kerana ahli-ahli politik yang tidak berperikemanusiaan, yang tidak mendahului rakyat dan menggunakan  agama Islam sebagai alat politik.  2. Sistem yang tidak transparent lagi-lagi program vaksin yang lambat dan tidak cukup effektif.  #BenderaHitam #Lawan"
penasuria,"@SyedSaddiq 3. Double standard, MPs boleh ke pesta durian, ada secret meetings, hantar anak ke France semasa PKP/PKPD. SOP mana? mengapa mereka tidak disaman atau dipersoalkan oleh PDRM."
penasuria,"@SyedSaddiq 4. White flag pun dipoliticise, MB nak save face sanggup tak kasi #RakyatJagaRakyat sbb kami penat dgn #KerajaanBangsat.   Sekian, saya akan teruskan #lawan kerana saya inginkan masa hadapan yang cerah untuk rakyat. it’s up to us, no government is gonna save us."
hanifmhassan97,@SyedSaddiq Saja lawan. Tak dak benda apa nak buat. Boring
3da_nash,"@SyedSaddiq THIS. @anwaribrahim has been doing it for years n every time he's succeeded or nearly succeed, someone simply just swooped in n claim victory. I sincerely hope u're not another someone who'd do that. #LAWAN #AnwarForPM - gv ur support openly. Tq.   https://t.co/GLIr4RQQj0"
noahbukhari28,@SyedSaddiq -kes tak turun. Kami harap buat PKP macam 1.0 tapi lain pulak kerajaan buat. Lama sangat kena kurung. Nak jumpa orang tua/pasangan sendiri pun susah. -ramai sgt hilang kerja. Mati bunuh diri. Kerajaan tak nampak ke? Yang disebut rugi 1billion 1 hari -double standard ketara sangat
haha00317837,@SyedSaddiq Woi syed saddiq PH dulu pun celakalah. Ko takyah nak acah baguslah. Dulu korang duk sedap bising takde duit takde duit. Pastu airport tak tutup. Kau buat apa masa tu? Ada defend rakyat? Buto kaulah
pkwalkstheworld,"@SyedSaddiq Dictatorship. It shows when the government tried not to let 18 years old voting, with unreasonable reasons. As though rakyat bodoh"
darthre09903466,"@SyedSaddiq sbb dah terlalu lama dinosaur tua tu berkuasa. negara nie dah jadi kotor tiada nampak perubahan yang baik bg semua orang mostly rakyat dari segi pekerjaan,kesihatan,pendidikan, dan ekonomi."
mimihoneyz,"@SyedSaddiq Sbb kami penat. 2020-2021 terbazir begitu saje sbb covid, and no improvement sampai skrg . Apa yg kerajaan buat? 😠   Kes2 lain mcm rakyat tak cukup makan, student tertinggal pelajaran, double standard, kes bunuh diri makin banyak. So apa niii??? We deserve better!"
mukries,"@SyedSaddiq tak aci, ade timb menteri dpt kawin baru"
