bevintharaj,🏴🏴🏴 #Lawan
jolee8,"3-July-2021, #Malaysia stand in solidarity in black 🏴  3 demands: 🏴1. Resignation of Prime Minister #MuhyiddinOut 🏴2. The convening of Parliament 🏴3. The ending of the Emergency Proclamation  #Lawan #Fight #BenderaHitam #BlackFlag  https://t.co/9wFbIJ2anR"
anakspiritual,#Lawan #KerajaanGagal  https://t.co/Jdyd2nosCj
papaqqs,#lawan #benderahitam #KerajaanGagal  https://t.co/kIoJzSwK2T
theshadowww_,Gila la hashtag #Lawan dah cecah 140k+! Biar dunia tahu betapa teruknya negara bawah Mahiaddin!
nrhznsofea,Srikandi Keadilan Perak In Black .   Tanda Menyokong untuk 3 tuntutan kepada Kerajaan Gagal #Lawan #BenderaHitam  https://t.co/tswVvLw71c
xcov19,#Lawan #BukaParlimen #hentikandarurat #KerajaanGagal  https://t.co/H2eOGRfz0B
basnorizan,Kita #Lawan #KerajaanGagal  https://t.co/Tp9SEH8eRa
aininrazakk,"Sangat keruh hujah sang kuasa, arif berpantun menghilang rawan,  tidak merasa derita berbisa,  kini waktunya rakyat melawan.   Selamat 3 Julai! 🏴 #Lawan"
beb0808,#Lawan  https://t.co/LJo5KjFaBd
ekalkayo,🏴🏴🏴 #BenderaHitam #Lawan
irdinasfya,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴  #Lawan #KerajaanGagal
hanny_zulkiflly,Malaysian! Raise the black flag 🏴    Let's fight for our right!  #Lawan #BenderaHitam  https://t.co/M9cXU5IIuO
kamalwho_,Da la kerajaaan yang TAK DIPILIH DAN DIUNDI RAKYAT. Tebuk atap! Pastu gagal dan tak kompeten plak tu.   TAK MALU KEEEE? #kerajaangagal #lawan #benderahitam 🏴🏴🏴
replucu,#Lawan #Insurgent
hishambashah_iv,#benderahitam #lawan
baim_isaac,🏴🏴🏴 #Lawan
gxlaticmoon,Let's take down those old bastard.Fuc corruption and double standard !!! 🏴🏴🏴🏴  #Lawan #BenderaHitam #muhyiddinCiritOut
arifjoe71,#Lawan  https://t.co/xGZLuRNPZg
keroaje,🏴🏴🏴 #LAWAN
anepazhar,#BenderaHitam 🏴 #LawanTetapLawan #Lawan #MahiaddinLetakJawatan #MuhyiddinLetakJawatan  https://t.co/pJun1fiawU
emmnh_,"Takde bendera, shawl hitam pun boleh. Lawan tetap lawan!  #lawan  #BenderaHitam  #LawanTetapLawan  https://t.co/2DRbpJmZgz"
theindivisim,Ehh how long is the #Lawan again? Esok nak pakai black attire to work.
paqmadsri,#Lawan #LawanTetapLawan
fatihahlala,🏴🏴🏴 #lawan
corsaeldiablo,#Lawan #KerajaanGagal #PMCirit
theamirulhakimi,Rakyat dah muak. #Lawan #BenderaHitam #MuhyiddinLetakJawatan  https://t.co/5y70TlpLjw
nishabatrisyia,🏴🏴🏴 #Lawan #KerajaanZalim
nxyx0,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #lawan
phagatleen,Kalau kita mogok dan #lawan kat Jalan Raya marah pulok. Ni setakat gantung bendera pun kerajaan takot.
mdzulhisyam9,Kenal siapa yat? Kitalah yat. RAKYAT. #lawan
phagatleen,"Might as well change the name of our country to “The dictatorship of Malaysia” at this point.  This democracy is supposed to advocate for freedom of speech, instead they’re so threatened by #lawan and other trending hashtags as well as 🏴 🏳 flags."
thechekmad,Bersolidariti bersama protes maya #Lawan #BenderaHitam dgn memakai serba hitam hari ini 🏴✊🏼  https://t.co/7IjDivVbP9
yusrituals,"Meow be like, pebende korang ni wei 🤣 #Lawan🏴"
x_zuel,tiada pulak @501Awani @mstaronline @sinarharianSH atau apa2 yg berkaitan tak mahu pulak terbitkan isu ini.. takut ke?  #MuhyiddinLetakJawatan #Lawan #benderahitam  https://t.co/ljCouE6Vto
izzraifharz,#Lawan versi budget ft. padi  https://t.co/9iKuXhe7tM
fahmiyusoff_n,Kita #Lawan 🏴🏴🏴
azrulazimi,"5,434 blood in your hand! #MuhyiddinLetakJawatan #KerajaanBangsat #lawan"
krulfadhli,🏴🏴🏴 #lawan #fight
izzsyzwan,#Lawan #BenderaHitam 🏴🏴🏴
paqmadsri,#Lawan #LawanTetapLawan
chimichangamf,"TW//  I had to literally fist fight my dad to not take this down...but he won. I can't do anything in this house (because it isn't ""mine"") my hands are shaking as I type this. Y'all don't let this flop. As long as there are stupid, selfish people like him, kita #lawan  https://t.co/wT1BduH350"
tasha__koh,"Bendera pun dah gelabah. Proves that they are afraid, keep fighting! #Lawan"
jarumpolitik,#Lawan  #KerajaanGagal  #KerajaanCirit  🏴🏴🏴🏴  https://t.co/GJAZWoh5eC
saffzero,A lot of tweets with #lawan
zaquan94,🏴🏴🏴 #Lawan
lianaklose,Reput tgu org vaksin. Abg polis tak bagi masuk dalam. Sis pakai baju hitam #lawan  https://t.co/mlkFsAsN3t
paqmadsri,#Lawan #LawanTetapLawan
adriarmani,🏴 #LAWAN ENOUGH IS ENOUGH!
___rsyqh,🏴 #Lawan #BenderaHitam  https://t.co/5rRIRzzlog
desmond_clw,#LAWAN 🏴  https://t.co/B1ZGN7VUua
amrmrsyd_,"Takde bendera hitam kat rumah, mampu pakai t-shirt hitam je waktu keluar rumah untuk support #Lawan  https://t.co/Q2JSILDsG9"
natasasi,#Lawan!
freddywilfred,PKP terus sampai abang jamil mampus  #Lawan  https://t.co/TqpU4ZlCDy
roshazriljapri,#Lawan
politicomy,#Lawan  https://t.co/3BR4E7Uf45
aliff_nurhaqeem,"Aku berpegang pada kata-kata Saudara Lukas Graham dimana beliau pernah  mengatakan ""Cause I know the smallest voices, they can make it major"" Kita mampu jika kita bersatu #LawanTetapLawan #Lawan #KerajaanBangsat"
alepthegreat,Kibar kt krete je laa 💥 #lawan #mahiadinout #kibarbenderahitam 🏴🏴🏴  https://t.co/XUuFWZxOn9
paqmadsri,#Lawan #LawanTetapLawan  https://t.co/exXJh3ZeQJ
jashatta,#lawan #fight  https://t.co/nH83ZfD2Dr
saddamyc1,"demi anak ku dalam perut.isteri suruh letak perut dia,berpakaian hitam demi masa depan anak yang bakal lahir. #Lawan  https://t.co/nmzX1f7bYY"
zenk11,Proud of every single demonstrating their fighting against a cruel and inefficient government !  Kita #Lawan !
musabhermee,"SU tak boleh keluar statement #Lawan sebab #Kawan ke?  Ya jugak tu, apalah angkat bendera angkatlah tangan berdoa 🤲🏻😇"
harrisasyraaf1,Come #Lawan  https://t.co/gfffKNkHsI
littlesaiy,"it's not us against the pandemic anymore, in malaysia, it's the citizen against the government. #Lawan #KerajaanGagal #COVID19 #Malaysia"
cheapremebrand,@fatimahtajuddin #BenderaHitam #Lawan   https://t.co/hKsJJzNs9b
daryideanna,"Dah lebih 100K #Lawan, kalau terus pekak kita bawa ke jalanraya, kita rampas negara ni daripada para koruptor."
lolita89721,#MuhyiddinLetakJawatan #BenderaHitam #Lawan
itsmefezza,"Pls, i'm tired looking at our gov. They did shit not for once but multiple times!!  #Lawan #benderahitam"
mrwooosh,#Lawan
sheujeen,"Takde #benderahitam so terpaksa improvise guna baju hitam dgn batang mop + filter😂  Tapi tetap ingin tunjukkan solidariti dan #lawan #KerajaanGagal yg tamak, korup dan tdk peduli langsung kesengsaraan rakyat.  https://t.co/w0wWt03PCQ"
manboulala,Enough is enough  #lawan  #BenderaHitam  https://t.co/T2SUSgZzRS
afidahbakri,#Lawan #BenderaHitam #KerajaanBangsat  https://t.co/GLSfGSL4tC
elyiasomar,Siapa bokeh jawab? Kata nya #BenderaHitam ini propaganda kerajaan. Kata nya akan kalau huat sekarang kesian healthcare kena terima banyak lagi positif kes? Bukan kah #BenderaHitam ini online picket? #lawan
ndzrkhrl,#Lawan 🏴🏴🏴
udean0619,#Lawan 🏴🏴🏴
annieveeee,Idk how to sing this n i nvr know double decker have a song #Lawan #BenderaHitam  https://t.co/C6B3aXWxGV
hjrajit,@mkini_bm #lawan la sangat kalau berani 😂😂  https://t.co/SBPDKAiFsr
matchamachakhav,Let’s see PDRM try and lock up thousands of citizens over voicing out against leaders who have failed this country and their people 🏴🏴🏴#BenderaHitam #Lawan #KerajaanGagal
leejunlin6,Just fight.Our black flag trying to fight to towards our judgement.  #Lawan #Muhyiddinout  #BenderaHitam  https://t.co/kz5eIXTal5
fifiimnwrh,#BenderaHitam #Lawan
double_dot,"Malaysians are often known for their patience, maybe even to a point of fault. Things have gotten so horribly bad. Lousy government policies and lack of accountability cannot be tolerated anymore. #lawan #KerajaanGagal  https://t.co/22irrfykmj"
_ainaim,When they care more about money flowing into their pockets than people's lives #LAWAN
madwolfff79,#BenderaHitam #Lawan
ninzier,Marilah tentang bersama-sama #lawan  https://t.co/sYEcszqsxB
ahmadzhari7,Hari ni rule dia simple je: #benderahitam ❤️ #lawan ❤️ #MuhyiddinLetakJawatan RT
yurnalisayub,🏴#Lawan
nsyazwaniamir,#Lawan 🏴🏴🏴🏴🏴
mrsgraceelebra,#Lawan 🏴🏴🏴 Malaysians suffered enough under your regime #muhyiddinOut #KerajaaanGagal #KerajaanZalim
redrun_,"Kalau ikut dulu-dulu perangai gomen, nanti warna hitam tu pulak depa dok buat tak boleh pakai macam warna kuning dulu. Tengok belon kuning pun naik kecut suatu ketika dahulu 😂  #Lawan"
ieka93,Indeed #Lawan  https://t.co/cA72kdunBC
uzaireads,Tak berapa hitam takpa asalkan #LAWAN  https://t.co/KhPxQVoCV9
kandabueno,🖤 #lawan
mayajoharii,#Lawan 🏴🏴🏴
kokyan6328,#Lawan
frazi_mj,"Sir, you inspire me to raise my beg plastik sampah hitam. Yesss #lawan janji hitam.haah lahh beg plastik hitam jugak kan??🏴‍☠️🏴‍☠️🏴‍☠️"
aazamyusof_,@fanimalist #Lawan  https://t.co/5Boa9xo9PQ
comefindd,#BenderaHitam #Lawan Be more useful and protect ur people!  https://t.co/Yrgd6GgLa6
deepfikry,"Tolong #Lawan kerajaan sekarang. Buat kerja sambil lewa, double standard sana sini, rasuah sana sini, rakyat marhaen disisihkan.   Apa patut kita buat? Protest untuk tunjukkan kita bersatu demi melawan kerajaan yg tidak mementingkan rakyat."
izzwtv,#lawan suamiku pakai shawl kesayanganku from CQ 🥲  https://t.co/KawGhnLECC
mrnicesmile80,#MuhyiddinLetakJawatan  #MuhyiddinLetakJawatan   #MahiaddinLetakJawatan   #MahiaddinLetakJawatan   #benderahitam  #Lawan  https://t.co/XRx6RtZ9mW
calistalieya,"📢📢📢 Hi @MuhyiddinYassin please don't turn one eyes blind from this campaign against you. Rakyat do not hate you as a person, but YOUR WORK HAS FAILING US. None of your strategies working to save Malaysian.  IF you have a sense of humanity, please step down. #Lawan"
iamwanieee,🏴🏴🏴🏴🏴🏴🏴 #Lawan because we had enough and we deserve a government that serves the rakyat!!!!
elliyanayusri,#Lawan
tfintn,@sixpercentleft #Lawan
ikhmalkhan,#Lawan  https://t.co/6vCb9EpoBN
fekryanuar_,"setinggi mana pun baran kita , mohon sangat jangan turun ke jalan. kita tetaplah disini. kes tinggi lagi. aku takmau macam ni sampai tahun depan🤘🏻🖤🏴🏴  #Lawan #KerajaaanGagal"
aynamohammad,"Sbnrnya mp kwsn masing2 lebih dr mampu dr nk bagi tablet. Tapi tulah semua buta perut, tamak harta berebut jwtn. #lawan 🏴🏴🏴"
_miadanial,sedition act being pulled up once again in regards of the #Lawan and #BenderaHitam campaign. all the more reasons to abolish this act. how can a simple form of protest of PUTTING FLAGS UP in this supposedly democratic country can be considered as sedition? absurd.
tapauxii,The people have had enough. It's time for the powers at be to be held accountable!  #Lawan
yatimisma,Wore black to buy laksa and pisang goreng. #Lawan  https://t.co/Hidhb2Tv0o
h_bakkaniy,Sambil² gantung 🏴 #BenderaHitam jangan lupa jenguk jiran² yang mungkin ada gantung #BenderaPutih 🏳️.  #Lawan dan #Bantu mesti jalan serentak.
ruhasmizal,@LagaCawan @anwaribrahim #Lawan #BenderaHitam
shatirabentalib,🏴🏴🏴🏴🏴🏴🏴 #Lawan venom!!!!!!!!!!
akurazal,"Tiada bendera hitam, tapi dalam hati hitam. #KerajaanBangsat #Lawan  https://t.co/kpJUKYCvcQ"
xfqristyless,Budak2 bawah umur bole ke join #lawan 🏴? Yela kitorg budak2 lagi kan 🤡
lilbabysongbirb,Apparently our #BenderaHitam campaign is being investigated under the sedition act   Our gov is a ✨joke✨ Our PM is the 🤡 Our cabinet is the whole 🎪  It's okay..We continue to #LAWAN for the betterment of our country 🏴   FIGHT! FIGHT! FIGHT!
neddokhan,SHAH ALAM REPRESENT !!! #LAWAN !!!
kupukupu_kan,🏴 Hanya 3 Tuntutan: 🏴  1. Mahiaddin letak jawatan 2. Parlimen dibuka segera 3. Tamat darurat  #KerajaaanGagal 🏴 #BenderaHitam 🏴 #Lawan 🏴
ibrahimjunaidii,"Sekuriti taman ""singgah"" depan rumah. Kalau ada baju biru datang, dah tahu dah nak cari siapa. Resit dah simpan. #Lawan ✊🏻"
zahidazli,Lewat sikit baru habis kerja. Tak sempat cari bendera ada baju saja. Tetap #Lawan !  https://t.co/KzehkqJRrW
ukailnasir,🏴 #Lawan
valentinosdc,"🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴  “There is absolutely no greater high than challenging the power structure as a nobody, giving it your all, and winning!”   -Abbie Hoffman-  #lawan #Benderahitam #MuhyiddinLetakJawatan #muhyiddinkoyak"
xfqds,#Lawan  https://t.co/I2FABZcWhA
izwanxnasir,"Walaupun kita akan kalah, sekurang-kurangnya dengan kita melawan ✊🏻 #Lawan"
bunkroti,#BenderaHitam #LAWAN #MuhyiddinLetakJawatan  https://t.co/ZCI7NrEQsF
ilyaskywalkerr,#LAWAN
azrinakhairuddn,#lawan  https://t.co/ssVavPpsog
_ahchan,Englang #Lawan Ukraine
allysyafiq,#Lawan #BenderaHitam  https://t.co/0oGj0Lc5Ak
fizah_alias,Plastik hitam 🏴🏴🏴 #Lawan  https://t.co/lE3O5MipT0
budu_strawberry,Menanti hari keramat Menentang pemerintah bangsat  Tiada yang dapat membunuh semangat Membara di jiwa rakyat Bangun sekalian umat Bagai pahlawan melancar jihad Biar dibasahi darah dan keringat Yang zalim pasti dilaknat #Lawan
ayeipshamsul,🏴 #Lawan
mabmarawan,#BenderaHitam #Lawan  Moga bentala menjadi saksi perjuangan🏴  https://t.co/kX3PeVl1KB
edaybahrome,Wow dahsyat bendera hitam membanjiri timeline. Amazing 😲 #lawan #benderahitam
notabada4s,Ada ke article media yg cover pasal #lawan
zaemshahidan,Semalam Umno sibuk meeting ya😅 mmg hidup nak lepas tengkok masing2 🏴 🏴#Lawan #MuhyiddinLetakJawatan
shrhanum_,"we doing it at our home without putting anyone on danger , vandalisme or mass gathering! be a police officer to ensure rakyat safety not an opressors 🏴 #Lawan"
mewzique,🏴🏴🏴 #Lawan
azharruhaizad,#Lawan  https://t.co/HjRZdA5OXK
asyrafzainal95,Si kucen pun #Lawan
hellpufff,fuck em. #Lawan tetap #Lawan 🏴
shuddup_bij,🏴🏴🏴 #lawan
elliyanayusri,IMAGINE KERAJAAN SAID THIS HAHAHAHA IMAGINE JELAH   #Lawan  #KerajaanGagal
zuxnis,weh aku gantung seluar hitam dekat balkoni tu kira kibar bendera tak? #Lawan
nrdmsyhm,Aduh tak ada baju atau bendera hitam pulak. Apa apa pun #Lawan  https://t.co/ekZpe2qs9k
rahmat_amran,#Lawan  https://t.co/FFSU50mgHi
drs_hvd,"Sebagai seorang ahli dalam Kesatuan Mahasiswa IIUM, saya menyeru @iium_su untuk mengeluarkan kenyataan terhadap kebobrokan pemimpin yang melanda Malaysia lantas menyuarakan hasrat rakyat melalui advokasi #LAWAN dalam menuntut keadilan sosial."
upupkenchoong,#Lawan #BenderaHitam
azruliman21,🏴 #Lawan
orangechern2000,Fuck the government 🏴🏴  #Lawan #KerajaanBangsat  https://t.co/Oqr7OLBR0k
nicknameesther,"@fzfreak @NewsBFM Majoriti @PDRMsia pasti dgn rakyatlah..Ini agen-agen Muhyiddin,yg berada di pdrm lah..Masih ingat Hamzah kata 'budak kita'?Sebab itu, perlu ketua 'jantan' dlm polis&amp; @SPRMMalaysia utk berhentikan Muhyiddin. #Lawan protes secara bersopan.Kalau ada yg mati kebuluran,tengoklah nanti"
aamirznl,#Lawan 🏴🏴🏴🏴  A.C.A.B. -  fight for your right (lyric)  https://t.co/uPFZEYqS7h via @YouTube
shahirulsaludin,Malaysia deserves better? No.  Malaysia deserves the best. #3Tuntutan #Lawan #KerajaanGagal  https://t.co/fgmAAPjcR8
syuuukri,macam kita dok #lawan dia buat #pekak ja 😌  https://t.co/c5XOZy17Lb
arina_natasya95,#lawan
taufiqhanafi91,Yang FAHAM tu FAHAM la ye.. #BenderaHitam #Lawan  https://t.co/6Gzz54kS52
izzatyhusna_,#Lawan 🏴🏴🏴🏴🏴🏴🏴
afqhizzti,#Lawan
megataimann,Steady Shah Alam 🏴🏴🏴 #Lawan  https://t.co/POLx1yV8lZ
socchris,#lawan  https://t.co/QWUTIXa65k
despanikband,Kita #Lawan 👊👊👊👊
akurazal,#Lawan dari Hungary.
rsydahm,waknat! #KerajaanBangsat #Lawan #BenderaHitam
wydcagon,🏴‍☠️ #Lawan
azrinakhairuddn,#lawan  https://t.co/UBGZkAlJ3s
jr_crunk7,Frontliners who gives everything then we have menteri- menteri chibai. Satu terbang ke france dengan isteri acah orang france. Satu lagi cakap bendere putih propaganda. #Lawan #KerajaaanGagal
azrirayvano,#Lawan  https://t.co/4oio8n9fBu
mohdf1kry,#lawan #kerajaangagal
hlbnhbda,"Aku ada banyak jenis tudung hitam ni dari bawal, shawl, sarung. Haaa nak kena sangkut semua biar orang nampak dari tingkat tinggi2 ni #Lawan #BenderaHitam #BenderaPutih"
sikumbangtv,#lawan #benderahitam #muhyiddinout #MuhyiddinLetakJawatan  https://t.co/ldx2LO3WTZ
wafqrkrk,"SEMBANG KARI, MAU LAGI JANJI DICAPATI.  #Lawan #MuhyiddinLetakJawatan  https://t.co/l6kJPGcvWC"
fkhirah,"Not my mum calling me and asking me to take down all my posts on socmeds. So im like ""okie u saw from FB eh? Sure sure will take them down"" so took them down from FB because she only has access to that but she doesn't know I'm a mad woman in other platforms 🤣 #Lawan"
vernonchong,#KerajaaanGagal #Lawan  https://t.co/vALseyooKt
ini_izzatamir,#Lawan #DaulatRakyat #KerajaanCirit #BenderaHitam  https://t.co/9LDXUYj34c
hsnmrcxn,I always love and proud to be a malaysian. We are shit but every people has their own shits. The kindness that we share together among us is stg that i dont think i'll ever get somewhere else. I just hate we have bigots leading the country &amp; they should fck off #Lawan
johnt69863736,@missnadiaaqilah #Lawan
thevo_quevo,"Twitter: What’s happening?  Me: idk, the start of a reformation, possibly a revolution even, maybe?   #lawan  #benderahitam  https://t.co/1i5x19yUMM"
hafifaiman_,@MuhyiddinYassin #MuhyiddinLetakJawatan #lawan LETAK JAWATAN
23potteh,"Malaysia actually has the potential and can do better, we have a lot of talented, intellectual and idealists people but because our country got hijack by politicians that has third world mentality we are stuck, now no more silence #Lawan"
jaa_ingg,#Lawan.  https://t.co/MZKNf6NIlG
shyxmm,"no #BenderaHitam? dry out your black laundry.  dengan hitam, kita #Lawan  https://t.co/xcdNNq5yTG"
yeettr1,KIBARKAN HITAM KIBARKAN HITAM.   HITAM UNTUK REFORMASI.   HITAM TANDA KEGAGALAN KERAJAAN.  #LAWAN TETAP #LAWAN   🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴  #KerajaanGagal  #muhyiddinOut   #MuhyiddinLetakJawatan  https://t.co/88g06J7wWL
hafifaiman_,@MuhyiddinYassin #MuhyiddinLetakJawatan #lawan PM BABI
nrlazira,🏴🏴🏴🏴🏴🏴  #Lawan #MuhyiddinLetakJawatan
izzymusamusic,🏴🏴🏴🏴   #lawan
lynkml,"Tak ramai sebenarnya yang kisah hal #lawan tadi ada kawan tanya, untuk apa? Aku jelaskan. Kemudian dia tanya lagi, apa salah yidin? Haha rasa nak hempuk kepala🥲"
ecvhvhvhvhv,#Lawan resign je la mahiaddin! @MuhyiddinYassin
nikshahnazran,#Lawan #BenderaHitam  🏴🏴🏴🏴🏴🏴
__nrsffnsr__,@atiferfaan Lagi tekan lagi #lawan
haaaniiiiiii,"@_FarahFauzi Black, #Lawan , vaccinated and pretty!"
mohamadaizuddin,#Lawan  https://t.co/XwgOBe65WR
adammacberry,#BenderaHitam #Lawan #KerajaanGagal
irfanrosmann,#Lawan  https://t.co/4dvjutDNmB
raajarao,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴  #Lawan #Lawan #Lawan #Lawan
adimxns,#Lawan sampai menang . #BenderaHitam  https://t.co/JaCx040xRW
hqlamr,#LAWAN
ashloeyy,#Lawan
pfftthalijahhh,Supporting #Lawan wearing black &amp; #BenderaHitam  https://t.co/Go32XmDp6b
mrfirdausjailan,"Mulai hari ini aku akan pakai baju hitam, seluar hitam, mask hitam sampai lah kita menang. Lawan sampai menang ! #Lawan #MuhyiddinLetakJawatan #BenderaHitam"
peggztong,#lawan  https://t.co/aHkEMVl20n
hytrhl,#Lawan #benderahitam trending  https://t.co/qHRDjnO8Vn
syazreenrazali,No point to stay neutral at moment like this. #Lawan #BenderaHitam
khrnnisamdnoor,"Din, saya nyanyi khas untuk din. Suara saya tak berapa sedap din, tapi saya nak nyanyi jugak untuk din sempena kemarahan rakyat ni din @MuhyiddinYassin   🏴  #Lawan #KerajaanGagal #KerajaanZalim  https://t.co/myuNF68zOl"
mmt1985_,🏴🏴🏴🏴 #lawan #MuhyiddinLetakJawatan #benderahitam
zaemshahidan,🏴#Lawan 🏴
azmidahan,Walaupun kita tahu Mahiaddin tak akan letak jawatan tapi tetap kena #Lawan
